date,min,max,median,q1,q3,stdev,count
2019-12-09T00:00:00.000Z,80.58,357.36,248.43,133.84,327.72,96.325,311
2019-12-10T00:00:00.000Z,204.76,432.42,299.16,260.95,347.85,53.633,380
2019-12-11T00:00:00.000Z,124.1,402.28,247.27,203.8,334.18,82.882,414
2019-12-12T00:00:00.000Z,13.22,320.39,53.56,37.84,82.28,58.107,461
2019-12-13T00:00:00.000Z,40.68,112.46,75.44,65.44,82.82,15.565,542
2019-12-14T00:00:00.000Z,52.53,183.38,91.84,79.95,109.49,25.12,391
2019-12-15T00:00:00.000Z,44.26,166.98,91.57,64.65,117.69,32.891,524
2019-12-16T00:00:00.000Z,62.09,87.45,75.5,70.01,78.97,5.825,283
2019-12-17T00:00:00.000Z,118.42,275.05,197.06,160.33,244.14,44.367,274
2019-12-18T00:00:00.000Z,118.02,195.25,153.51,132.93,173.7,21.765,447
2019-12-19T00:00:00.000Z,108.06,324.48,133.31,124.58,149.8,44.485,524
2019-12-20T00:00:00.000Z,165.86,401.46,265.12,230.23,298.26,53.621,567
2019-12-21T00:00:00.000Z,77.9,331.5,135.96,100.45,158.74,53.358,539
2019-12-22T00:00:00.000Z,105.6,227.66,156.75,135.8,178.74,25.711,558
2019-12-23T00:00:00.000Z,110.77,223.22,157.51,134.06,188.19,30.154,549
2019-12-24T00:00:00.000Z,85.8,173.63,114.62,97.35,138.3,22.465,560
2019-12-25T00:00:00.000Z,76.52,149.84,109.96,102.1,120.56,14.501,568
2019-12-26T00:00:00.000Z,86.06,151.77,115.62,108.86,123.43,11.682,570
2019-12-27T00:00:00.000Z,93.62,507.6,114.58,107.05,124.68,40.316,554
2019-12-28T00:00:00.000Z,83.58,178.02,113.66,103.56,124.18,19.334,566
2019-12-29T00:00:00.000Z,78.51,204.68,122.24,95.81,153.15,34.667,540
2019-12-30T00:00:00.000Z,70.36,268.08,97.41,86.09,120.24,28.195,556
2019-12-31T00:00:00.000Z,65.08,233.01,121.06,75.15,152.62,44.5,524
2020-01-01T00:00:00.000Z,120.3,416.29,202.06,162.41,280.64,76.814,554
2020-01-02T00:00:00.000Z,47.92,387.79,209.48,149.05,271.62,80.456,547
2020-01-03T00:00:00.000Z,35.22,416.75,160.13,78.59,251.04,94.521,537
2020-01-04T00:00:00.000Z,32.46,389.74,217.85,117.76,294.88,102.265,490
2020-01-05T00:00:00.000Z,44.7,323.76,93.1,71.69,137.26,69.945,549
2020-01-06T00:00:00.000Z,43.78,156.44,82.88,69.95,97.87,21.438,508
2020-01-07T00:00:00.000Z,45.94,247.27,116.59,93.66,145.82,45.457,504
2020-01-08T00:00:00.000Z,37,145.65,98.7,73.8,110.66,26.788,401
2020-01-09T00:00:00.000Z,16.6,186.09,100.84,40.96,138.12,49.146,501
2020-01-10T00:00:00.000Z,25.06,141.47,79.54,39.03,92.69,29.982,409
2020-01-11T00:00:00.000Z,40.04,162.99,97.71,70.45,116.68,29.126,478
2020-01-12T00:00:00.000Z,10.98,99.84,40.72,29.81,62.29,21.483,532
2020-01-13T00:00:00.000Z,20.91,123.13,46.8,34.36,67.2,24.847,469
2020-01-14T00:00:00.000Z,33.71,122.22,72.94,54.17,85.81,19.658,432
2020-01-15T00:00:00.000Z,53.46,204.62,101.08,75.98,128.32,29.391,435
2020-01-16T00:00:00.000Z,53.14,274.58,181.44,106.85,225.85,64.765,458
2020-01-17T00:00:00.000Z,104.24,298.54,230.82,187.67,271.98,53.234,463
2020-01-18T00:00:00.000Z,95.26,370.79,152.76,110.71,224.6,75.077,481
2020-01-19T00:00:00.000Z,58.38,384.95,163.04,95.6,194.06,91.668,450
2020-01-20T00:00:00.000Z,20.18,138.51,71.88,57.04,83.18,29.506,351
2020-01-21T00:00:00.000Z,17.02,173,52.08,38.1,61.38,24.774,440
2020-01-22T00:00:00.000Z,37.54,43.8,39.68,38.63,42.2,1.821,15
2020-01-23T00:00:00.000Z,32.79,90.05,64.5,38.53,70.45,16.865,79
2020-01-24T00:00:00.000Z,18.19,119.15,55.94,30.59,78.45,27.516,248
2020-01-25T00:00:00.000Z,21.95,244.98,112.9,69.36,142.32,58.193,270
2020-01-26T00:00:00.000Z,18.3,234.82,96.88,52.03,164.73,60.087,304
2020-01-27T00:00:00.000Z,32.39,299.2,118.88,92.05,145.94,51.112,249
